,,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count,,,
GO:0007162,GO:0007162,GO:0007162,negative regulation of cell adhesion,25/891,271/17913,0.002255166,0.028250905,0.02331401,BMP2/PDE3B/MIR221/LGALS9/TACSTD2/BMP4/ARHGAP6/MDK/IL1RN/GPNMB/CEBPB/GNRH1/RUNX1/TNFSF4/TGFBI/PDCD1LG2/COL1A1/CD274/PODXL/ADTRP/IL20RB/POSTN/SERPINE1/MIR503/SPINT2,25,0,,
GO:0070372,GO:0070372,GO:0070372,regulation of ERK1 and ERK2 cascade,25/891,271/17913,0.002255166,0.028250905,0.02331401,CHI3L1/BMP2/MIR221/LGALS9/DUSP6/HAND2/BMP4/GPNMB/DUSP4/FGFR2/EZR/ACKR3/FN1/F2R/HTR2A/TEK/NOX4/TIAM1/SEMA7A/FAM83D/LIF/MIR503/F2RL1/GPR183/CHRNA9,25,0,,
GO:0070838,GO:0070838,GO:0070838,divalent metal ion transport,37/891,454/17913,0.002256515,0.028250905,0.02331401,CCL8/HAP1/TRPM3/PTGS2/MCOLN2/STC1/CEMIP/GEM/AGT/BDKRB1/MCOLN3/CACNB2/PLCG2/CDH23/TMEM38A/CAPN3/ATP2A3/UCN/TMEM38B/SLC40A1/ANK2/JPH2/MYLK/F2R/HTR2A/DRD1/SLC8A1/EGF/RAMP1/KCNN4/ATP1B1/NTSR1/FGF14/NALCN/RGS9/CHRNA9/JPH3,37,0,,
GO:0042326,GO:0042326,GO:0042326,negative regulation of phosphorylation,37/891,455/17913,0.002342652,0.029257247,0.024144492,CBFA2T3/MIR221/BMP7/DUSP6/BDKRB1/CAMK2N2/BDKRB2/PPARGC1A/BMP4/SFRP1/GBA/CADM4/DUSP4/SOCS3/TRIB2/EZR/CEP85/PKIA/PRR5L/DUSP8/DEPTOR/ENPP1/INHBA/FOXM1/PMEPA1/PLK1/RASSF2/PBK/IGFBP3/CCNB1/GADD45B/LDLRAD4/LIF/DACT1/MIR503/F2RL1/CHRNA9,37,0,,
GO:0033280,GO:0033280,GO:0033280,response to vitamin D,7/891,38/17913,0.002400946,0.02991179,0.024684652,PTGS2/STC1/CYP24A1/BMP7/SFRP1/PIM1/SPP1,7,0,,
GO:1903034,GO:1903034,GO:1903034,regulation of response to wounding,18/891,173/17913,0.002486527,0.030902245,0.025502024,SERPINB2/MIR221/F3/CAPN3/DUOX1/MDK/CADM4/SPP1/MYLK/F2R/ADTRP/WFDC1/PLAT/SERPINE1/MYOZ1/F2RL1/HBEGF/WNT4,18,0,,
GO:0060713,GO:0060713,GO:0060713,labyrinthine layer morphogenesis,5/891,20/17913,0.00249736,0.030921382,0.025517816,RSPO3/BMP7/SOCS3/FGFR2/SPINT2,5,0,,
GO:0001938,GO:0001938,GO:0001938,positive regulation of endothelial cell proliferation,13/891,107/17913,0.002500234,0.030921382,0.025517816,BMP2/CCL26/HMOX1/F3/BMP4/BMP6/EGFL7/MDK/SCG2/HMGB2/WNT2/TEK/MIR503,13,0,,
GO:0000077,GO:0000077,GO:0000077,DNA damage checkpoint,15/891,133/17913,0.002548239,0.031402994,0.025915266,TREX1/E2F1/BLM/BRCA1/DTL/E2F7/BRIP1/CDK1/PLK1/E2F8/CCNB1/CLSPN/CDC25C/AURKA/GTSE1,15,0,,
GO:0051101,GO:0051101,GO:0051101,regulation of DNA binding,14/891,120/17913,0.002551532,0.031402994,0.025915266,MMP8/HMOX1/HAND2/NGF/HMGB2/E2F1/CDT1/EGF/MDFI/CDCA5/NEK2/MMP9/LIF/HJURP,14,0,,
GO:0061326,GO:0061326,GO:0061326,renal tubule development,12/891,95/17913,0.002602609,0.031954257,0.026370195,BMP2/PGF/AGT/TACSTD2/BMP4/DLL1/KIF26B/FGF1/POU3F3/LIF/LGR5/WNT4,12,0,,
GO:0072511,GO:0072511,GO:0072511,divalent inorganic cation transport,37/891,458/17913,0.002618314,0.032069617,0.026465395,CCL8/HAP1/TRPM3/PTGS2/MCOLN2/STC1/CEMIP/GEM/AGT/BDKRB1/MCOLN3/CACNB2/PLCG2/CDH23/TMEM38A/CAPN3/ATP2A3/UCN/TMEM38B/SLC40A1/ANK2/JPH2/MYLK/F2R/HTR2A/DRD1/SLC8A1/EGF/RAMP1/KCNN4/ATP1B1/NTSR1/FGF14/NALCN/RGS9/CHRNA9/JPH3,37,0,,
GO:0043457,GO:0043457,GO:0043457,regulation of cellular respiration,6/891,29/17913,0.002643352,0.032135038,0.026519384,CBFA2T3/PPARGC1A/TREX1/CDK1/PRDM16/CCNB1,6,0,,
GO:0045940,GO:0045940,GO:0045940,positive regulation of steroid metabolic process,6/891,29/17913,0.002643352,0.032135038,0.026519384,AGT/PPARGC1A/BMP6/ABCG1/FGF1/WNT4,6,0,,
GO:0060441,GO:0060441,GO:0060441,epithelial tube branching involved in lung morphogenesis,6/891,29/17913,0.002643352,0.032135038,0.026519384,BMP4/CTSH/LAMA1/FGFR2/CELSR1/WNT2,6,0,,
GO:0009994,GO:0009994,GO:0009994,oocyte differentiation,8/891,49/17913,0.00266791,0.032135038,0.026519384,ZGLP1/FBXO5/BRCA2/TRIP13/CCNB1/AURKA/LGR5/WNT4,8,0,,
GO:0055023,GO:0055023,GO:0055023,positive regulation of cardiac muscle tissue growth,8/891,49/17913,0.00266791,0.032135038,0.026519384,MIR17HG/FGFR2/PIM1/GATA6/GLI1/WNT2/CDK1/CCNB1,8,0,,
GO:0060563,GO:0060563,GO:0060563,neuroepithelial cell differentiation,8/891,49/17913,0.00266791,0.032135038,0.026519384,BMP2/MCOLN3/JAG2/DLL1/CEBPB/CDH2/SERPINE1/WNT4,8,0,,
GO:1902475,GO:1902475,GO:1902475,L-alpha-amino acid transmembrane transport,8/891,49/17913,0.00266791,0.032135038,0.026519384,AGT/SLC17A7/SLC25A29/SLC38A1/SLC7A1/SLC43A2/NTSR1/SLC7A5,8,0,,
GO:0007050,GO:0007050,GO:0007050,cell cycle arrest,22/891,231/17913,0.002725853,0.032724175,0.027005568,EVI2B/CXCL8/RRAGD/APBB2/GATA6/SKIL/E2F1/GAS7/MTBP/BRCA1/E2F7/INHBA/FOXM1/CDK1/DDIAS/E2F8/KIF20B/CCNB1/CDC25C/AURKA/CDKN3/GTSE1,22,0,,
GO:0072507,GO:0072507,GO:0072507,divalent inorganic cation homeostasis,34/891,412/17913,0.002729697,0.032724175,0.027005568,CCL8/HAP1/HTR1B/MCOLN2/STC1/CEMIP/AGT/BDKRB1/MCOLN3/BDKRB2/CACNB2/FAM20A/PLCG2/CDH23/S1PR1/ATP6V1B1/TMEM38A/CAPN3/TMEM38B/SLC25A27/TMTC2/ANK2/JPH2/F2R/HTR2A/DRD1/SLC8A1/ATP1B1/NTSR1/TGM2/OXTR/F2RL1/CHRNA9/JPH3,34,0,,
GO:0030501,GO:0030501,GO:0030501,positive regulation of bone mineralization,7/891,39/17913,0.002802727,0.033520614,0.027662828,BMP2/BMP7/BMP4/BMP6/BMPR1B/SLC8A1/WNT4,7,0,,
GO:0090287,GO:0090287,GO:0090287,regulation of cellular response to growth factor stimulus,25/891,276/17913,0.002879184,0.034354211,0.028350752,NRROS/AGT/MIR17HG/BMP4/DLL1/SFRP1/CADM4/DCN/CYFIP2/HSPA1A/FGF1/FGFR2/GREM2/FSTL3/ADAMTS3/SULF1/FBN1/PMEPA1/PRDM16/SFRP4/RASL11B/LDLRAD4/MIR503/WNT4/ASPN,25,0,,
GO:0000018,GO:0000018,GO:0000018,regulation of DNA recombination,11/891,84/17913,0.00290711,0.034606183,0.028558692,TIMELESS/TNFSF4/KPNA2/ATAD5/RAD51/IL7R/BLM/PARPBP/POLQ/RAD51AP1/ZNF365,11,0,,
GO:0072009,GO:0072009,GO:0072009,nephron epithelium development,13/891,109/17913,0.002947312,0.035002777,0.02888598,BMP2/KLF15/PGF/AGT/TACSTD2/BMP4/DLL1/KIF26B/FGF1/PODXL/POU3F3/LIF/WNT4,13,0,,
GO:0048705,GO:0048705,GO:0048705,skeletal system morphogenesis,20/891,204/17913,0.002982391,0.035336809,0.02916164,MMP13/STC1/ACP5/BMP7/BMP4/BMP6/SFRP1/SMPD3/FGFR2/BMPR1B/COL1A1/POC1A/MDFI/TEK/FREM1/SCX/SFRP4/PAPPA2/COL11A1/COMP,20,0,,
GO:0034113,GO:0034113,GO:0034113,heterotypic cell-cell adhesion,9/891,61/17913,0.003029797,0.035527118,0.029318692,GLDN/MIR221/BMP7/IL1RN/NFASC/NRCAM/DSP/DSG2/VCAM1,9,0,,
GO:0001833,GO:0001833,GO:0001833,inner cell mass cell proliferation,4/891,13/17913,0.003029985,0.035527118,0.029318692,GINS1/NCAPG2/BRCA2/GINS4,4,0,,
GO:0032530,GO:0032530,GO:0032530,regulation of microvillus organization,4/891,13/17913,0.003029985,0.035527118,0.029318692,PLD1/EZR/KLF5/PODXL,4,0,,
GO:0071415,GO:0071415,GO:0071415,cellular response to purine-containing compound,4/891,13/17913,0.003029985,0.035527118,0.029318692,PPARGC1A/TMEM38A/TMEM38B/SLC8A1,4,0,,
GO:0010718,GO:0010718,GO:0010718,positive regulation of epithelial to mesenchymal transition,8/891,50/17913,0.003040389,0.035527118,0.029318692,BMP2/MIR221/BMP7/BMP4/MDK/EZH2/COL1A1/TIAM1,8,0,,
GO:0060425,GO:0060425,GO:0060425,lung morphogenesis,8/891,50/17913,0.003040389,0.035527118,0.029318692,BMP4/CTSH/LAMA1/FGFR2/NFIB/CELSR1/WNT2/LIF,8,0,,
GO:0030038,GO:0030038,GO:0030038,contractile actin filament bundle assembly,12/891,97/17913,0.003101405,0.036074243,0.029770206,TACSTD2/S1PR1/ARHGAP6/SFRP1/PHACTR1/MET/LIMCH1/TPM1/NOX4/SORBS1/WNT4/ELN,12,0,,
GO:0043149,GO:0043149,GO:0043149,stress fiber assembly,12/891,97/17913,0.003101405,0.036074243,0.029770206,TACSTD2/S1PR1/ARHGAP6/SFRP1/PHACTR1/MET/LIMCH1/TPM1/NOX4/SORBS1/WNT4/ELN,12,0,,
GO:0010893,GO:0010893,GO:0010893,positive regulation of steroid biosynthetic process,5/891,21/17913,0.003145196,0.036307013,0.029962299,PPARGC1A/BMP6/ABCG1/FGF1/WNT4,5,0,,
GO:0007178,GO:0007178,GO:0007178,transmembrane receptor protein serine/threonine kinase signaling pathway,28/891,323/17913,0.003146356,0.036307013,0.029962299,NRROS/BMP2/MIR17HG/BMP7/BMP4/BMP6/TMEM100/SFRP1/HSPA1A/SMPD3/GREM2/SKIL/FSTL3/SULF1/BMPR1B/FBN1/INHBA/PMEPA1/GDF6/SCX/PRDM16/GDF10/SFRP4/RASL11B/LDLRAD4/TTK/COMP/ASPN,28,0,,
GO:0051017,GO:0051017,GO:0051017,actin filament bundle assembly,15/891,136/17913,0.00316299,0.036307013,0.029962299,TACSTD2/S1PR1/SPIRE2/ARHGAP6/SFRP1/PHACTR1/FMN2/EZR/MET/LIMCH1/TPM1/NOX4/SORBS1/WNT4/ELN,15,0,,
GO:0006270,GO:0006270,GO:0006270,DNA replication initiation,6/891,30/17913,0.003167318,0.036307013,0.029962299,TICRR/PRIM1/MCM5/POLE2/CDT1/CDC6,6,0,,
GO:0031572,GO:0031572,GO:0031572,G2 DNA damage checkpoint,6/891,30/17913,0.003167318,0.036307013,0.029962299,BLM/BRCA1/DTL/CDK1/PLK1/CLSPN,6,0,,
GO:0032689,GO:0032689,GO:0032689,negative regulation of interferon-gamma production,6/891,30/17913,0.003167318,0.036307013,0.029962299,LGALS9/TNFSF4/PDCD1LG2/CD274/INHBA/IL20RB,6,0,,
GO:0007492,GO:0007492,GO:0007492,endoderm development,10/891,73/17913,0.003185152,0.036307013,0.029962299,MMP8/BMP4/GATA6/FN1/COL12A1/INHBA/COL5A1/COL8A1/MMP9/COL11A1,10,0,,
GO:2000045,GO:2000045,GO:2000045,regulation of G1/S transition of mitotic cell cycle,18/891,177/17913,0.003186846,0.036307013,0.029962299,MIR221/ADAMTS1/PLCB1/GPNMB/JADE1/EZH2/E2F1/MTBP/E2F7/CDC6/CDK1/E2F8/CCNB1/CDC25C/AURKA/GTSE1/KIF14/DACT1,18,0,,
GO:0045844,GO:0045844,GO:0045844,positive regulation of striated muscle tissue development,11/891,85/17913,0.003192846,0.036307013,0.029962299,MIR17HG/BMP4/DLL1/FGFR2/PIM1/GATA6/GLI1/WNT2/NRG1/CDK1/CCNB1,11,0,,
GO:0048636,GO:0048636,GO:0048636,positive regulation of muscle organ development,11/891,85/17913,0.003192846,0.036307013,0.029962299,MIR17HG/BMP4/DLL1/FGFR2/PIM1/GATA6/GLI1/WNT2/NRG1/CDK1/CCNB1,11,0,,
GO:0071470,GO:0071470,GO:0071470,cellular response to osmotic stress,7/891,40/17913,0.003254075,0.036920671,0.030468719,PTGS2/BDKRB2/CAPN3/AKR1B1/MYLK/AQP1/EFHD1,7,0,,
GO:0035249,GO:0035249,GO:0035249,"synaptic transmission, glutamatergic",9/891,62/17913,0.003391361,0.038327515,0.031629715,GRIK1/HTR1B/PTGS2/SHC3/UCN/HTR2A/DRD1/SLC1A4/OXTR,9,0,,
GO:0061572,GO:0061572,GO:0061572,actin filament bundle organization,15/891,137/17913,0.00339315,0.038327515,0.031629715,TACSTD2/S1PR1/SPIRE2/ARHGAP6/SFRP1/PHACTR1/FMN2/EZR/MET/LIMCH1/TPM1/NOX4/SORBS1/WNT4/ELN,15,1,,
GO:0048146,GO:0048146,GO:0048146,positive regulation of fibroblast proliferation,8/891,51/17913,0.003452094,0.038820785,0.032036784,AGT/FN1/E2F1/AQP1/CDC6/WNT2/CCNA2/CCNB1,8,0,,
GO:1901607,GO:1901607,GO:1901607,alpha-amino acid biosynthetic process,8/891,51/17913,0.003452094,0.038820785,0.032036784,CTH/PLOD2/PSPH/PYCR1/ASNS/PHGDH/CBSL/PSAT1,8,0,,
GO:0016049,GO:0016049,GO:0016049,cell growth,37/891,466/17913,0.003493832,0.039203414,0.032352548,CISH/AGT/NANOS1/SGK2/BDKRB1/RIMS2/UCN/NTN1/SFRP1/RNF157/CYFIP2/HSPA1A/JADE1/APBB2/RAPH1/TMEM97/PSRC1/DCBLD2/CDA/FN1/NRCAM/NET1/SPP1/ENPP1/WFDC1/INHBA/IGFBP3/POSTN/TIAM1/SEMA7A/AURKA/SORBS2/KIF14/IGFBPL1/HBEGF/PAPPA2/DRAXIN,37,0,,
GO:0030111,GO:0030111,GO:0030111,regulation of Wnt signaling pathway,29/891,341/17913,0.003534104,0.039567957,0.032653388,RSPO3/BMP2/ATP6V1C2/TMEM88/TLR2/MDK/SFRP1/PTPRU/APCDD1/GPRC5B/RUNX1/TMEM237/HECW1/JADE1/CMAHP/FGFR2/CDH2/SULF1/COL1A1/EGF/MDFI/GLI1/TIAM1/SFRP4/NKD2/DACT1/LGR5/ASPM/DRAXIN,29,0,,
GO:0007565,GO:0007565,GO:0007565,female pregnancy,19/891,193/17913,0.003574769,0.039830484,0.032870037,PSG1/PTGS2/GJB2/STC1/PGF/AGT/LGALS9/PTHLH/AKR1B1/UCN/GNRH1/UCP2/SPP1/ADCY7/DSG2/MMP9/LIF/PSG4/WNT4,19,0,,
GO:0034728,GO:0034728,GO:0034728,nucleosome organization,17/891,165/17913,0.003576318,0.039830484,0.032870037,CENPL/HMGB2/ANP32E/CHAF1A/CHAF1B/CENPO/ASF1B/CENPH/CENPK/CENPI/NAP1L3/CENPM/CENPN/CENPU/OIP5/CENPA/HJURP,17,0,,
GO:0022412,GO:0022412,GO:0022412,cellular process involved in reproduction in multicellular organism,28/891,326/17913,0.003581061,0.039830484,0.032870037,NOX5/BMP4/SPIRE2/ZGLP1/MDK/SFRP1/OSBP2/FMN2/CABYR/HMGB2/FBXO5/BMPR1B/FANCA/BRCA2/INHBA/BRIP1/PLK1/MYBL1/TRIP13/CCNB1/NCAPH/AURKA/KIF18A/TTK/TOP2A/LGR5/ASPM/WNT4,28,0,,
GO:0006875,GO:0006875,GO:0006875,cellular metal ion homeostasis,37/891,467/17913,0.003619137,0.040166104,0.033147007,CCL8/HAP1/HTR1B/MCOLN2/STC1/CEMIP/AGT/BDKRB1/MCOLN3/BDKRB2/CACNB2/HMOX1/PLCG2/CDH23/S1PR1/TMEM38A/CAPN3/BMP6/TMEM38B/FTL/SLC40A1/SLC25A27/KCNMA1/ANK2/JPH2/F2R/ABCG2/HTR2A/DRD1/SLC8A1/ATP1B1/NTSR1/TGM2/OXTR/F2RL1/CHRNA9/JPH3,37,0,,
GO:0045444,GO:0045444,GO:0045444,fat cell differentiation,21/891,222/17913,0.003640041,0.040310083,0.033265825,PTGS2/BMP2/PPARGC1A/ZFP36/NR4A2/NR4A3/DLK2/SFRP1/PLCB1/CEBPB/TRIB2/ITGA6/E2F1/KLF5/HTR2A/ARL4A/ENPP1/ID4/GDF6/PRDM16/GDF10,21,0,,
GO:1902106,GO:1902106,GO:1902106,negative regulation of leukocyte differentiation,12/891,99/17913,0.003674873,0.040607343,0.033511139,TMEM176B/TMEM176A/MAFB/BMP4/MDK/SFRP1/RUNX1/TNFSF4/FSTL3/FBN1/INHBA/LRRC17,12,0,,
GO:1903510,GO:1903510,GO:1903510,mucopolysaccharide metabolic process,13/891,112/17913,0.00373828,0.041088224,0.033907985,CEMIP/SPOCK2/ST3GAL6/DSEL/DCN/SMPD3/PIM1/B4GALT1/VCAN/XYLT1/EGF/OMD/HMMR,13,0,,
GO:0034767,GO:0034767,GO:0034767,positive regulation of ion transmembrane transport,16/891,152/17913,0.003749752,0.041088224,0.033907985,HAP1/CEMIP/AGT/BDKRB1/CACNB2/PLCG2/CAPN3/CTSS/ANK2/JPH2/F2R/DRD1/ATP1B1/NTSR1/FGF14/RGS9,16,0,,
GO:1903707,GO:1903707,GO:1903707,negative regulation of hemopoiesis,16/891,152/17913,0.003749752,0.041088224,0.033907985,TMEM176B/TMEM176A/MIR221/MAFB/ZFP36/BMP4/MDK/DLL1/SFRP1/RUNX1/TNFSF4/FSTL3/FBN1/NCAPG2/INHBA/LRRC17,16,0,,
GO:0022407,GO:0022407,GO:0022407,regulation of cell-cell adhesion,32/891,389/17913,0.003754796,0.041088224,0.033907985,BMP2/MIR221/BMP7/LGALS9/DPP4/BMP4/TNFRSF14/NR4A3/MDK/IL1RN/PTPRU/GPNMB/EFNB3/CEBPB/GNRH1/RUNX1/KIF26B/TNFSF4/TENM3/ADAM19/ITGA6/GLI2/FSTL3/IL7R/PDCD1LG2/CD274/PODXL/ADTRP/IL20RB/VCAM1/SPINT2/WNT4,32,0,,
GO:0090224,GO:0090224,GO:0090224,regulation of spindle organization,7/891,41/17913,0.003758809,0.041088224,0.033907985,HSPA1A/BORA/PSRC1/TACC3/SPAG5/PLK1/TPX2,7,0,,
GO:2001234,GO:2001234,GO:2001234,negative regulation of apoptotic signaling pathway,21/891,223/17913,0.003836085,0.041842957,0.034530827,PTGS2/IL19/MIR221/BDKRB2/HMOX1/BMP4/NR4A2/SCG2/HSPA1A/HMGB2/UNC5B/ACKR3/CTH/ATAD5/ITGA6/BRCA1/DDIAS/SERPINE1/MMP9/RTKN2/WNT4,21,0,,
GO:0002521,GO:0002521,GO:0002521,leukocyte differentiation,38/891,485/17913,0.003878334,0.042213216,0.034836382,DLL4/EVI2B/NRROS/TMEM176B/CBFA2T3/TMEM176A/MIR17HG/LGALS9/TLR2/PLCG2/OSCAR/MAFB/BMP4/JAG2/MDK/DLL1/SFRP1/CEBPB/RUNX1/TNFSF4/SH3PXD2A/GLI2/FSTL3/IL7R/DOCK2/FBN1/FANCD2/FANCA/INHBA/RASSF2/LRRC17/MMP9/LIF/F2RL1/GPR183/VCAM1/WNT4/TSPAN2,38,0,,
GO:2000050,GO:2000050,GO:2000050,regulation of non-canonical Wnt signaling pathway,5/891,22/17913,0.003905836,0.042421716,0.035008447,RSPO3/SFRP1/TIAM1/SFRP4/DACT1,5,0,,
GO:0006874,GO:0006874,GO:0006874,cellular calcium ion homeostasis,31/891,375/17913,0.003997509,0.043294311,0.035728554,CCL8/HAP1/HTR1B/MCOLN2/STC1/CEMIP/AGT/BDKRB1/MCOLN3/BDKRB2/CACNB2/PLCG2/CDH23/S1PR1/TMEM38A/CAPN3/TMEM38B/SLC25A27/ANK2/JPH2/F2R/HTR2A/DRD1/SLC8A1/ATP1B1/NTSR1/TGM2/OXTR/F2RL1/CHRNA9/JPH3,31,0,,
GO:0061564,GO:0061564,GO:0061564,axon development,35/891,438/17913,0.004003212,0.043294311,0.035728554,RTN4RL2/MIR221/ARTN/SHC3/BMP7/MATN2/NR4A2/NR4A3/ADCY1/NTN1/EFNB3/NGF/DHFR/APBB2/FGFR2/NCAM1/NFASC/NFIB/DOK6/EZR/UNC5B/RAPH1/SKIL/GLI2/FN1/NRCAM/SPP1/BMPR1B/SEMA3C/TUBB2B/KIF5C/TIAM1/SEMA7A/DRAXIN/TSPAN2,35,0,,
GO:1905330,GO:1905330,GO:1905330,regulation of morphogenesis of an epithelium,18/891,181/17913,0.004043833,0.043640775,0.036014473,RSPO3/MIR221/AGT/BMP7/TACSTD2/BMP4/MDK/SFRP1/FGF1/FGFR2/CELSR1/SULF1/WNT2/TIAM1/LIF/DACT1/SAPCD2/WNT4,18,0,,
GO:0090231,GO:0090231,GO:0090231,regulation of spindle checkpoint,4/891,14/17913,0.004076526,0.043715156,0.036075856,CDT1/MAD2L1/CCNB1/NDC80,4,0,,
GO:0090266,GO:0090266,GO:0090266,regulation of mitotic cell cycle spindle assembly checkpoint,4/891,14/17913,0.004076526,0.043715156,0.036075856,CDT1/MAD2L1/CCNB1/NDC80,4,0,,
GO:1903504,GO:1903504,GO:1903504,regulation of mitotic spindle checkpoint,4/891,14/17913,0.004076526,0.043715156,0.036075856,CDT1/MAD2L1/CCNB1/NDC80,4,0,,
GO:0071559,GO:0071559,GO:0071559,response to transforming growth factor beta,22/891,239/17913,0.004116572,0.044051658,0.036353554,NRROS/MIR17HG/PPARGC1A/SFRP1/HSPA1A/FGFR2/SKIL/COL1A1/FBN1/MXRA5/WNT2/NOX4/PMEPA1/SCX/PRDM16/POSTN/GDF10/RASL11B/LDLRAD4/ANKRD1/WNT4/ASPN,22,1,,
GO:0032508,GO:0032508,GO:0032508,DNA duplex unwinding,10/891,76/17913,0.004282283,0.045728668,0.037737503,TREX1/FANCM/RAD54B/RAD51/BLM/GINS1/GINS4/CDC45/BRIP1/TOP2A,10,0,,
GO:0038066,GO:0038066,GO:0038066,p38MAPK cascade,8/891,53/17913,0.00440397,0.046733564,0.038566792,BMP2/GADD45G/LGALS9/HAND2/ZFP36/EZR/GDF6/GADD45B,8,0,,
GO:0042130,GO:0042130,GO:0042130,negative regulation of T cell proliferation,8/891,53/17913,0.00440397,0.046733564,0.038566792,LGALS9/BMP4/GPNMB/CEBPB/GNRH1/PDCD1LG2/CD274/IL20RB,8,0,,
GO:0060421,GO:0060421,GO:0060421,positive regulation of heart growth,8/891,53/17913,0.00440397,0.046733564,0.038566792,MIR17HG/FGFR2/PIM1/GATA6/GLI1/WNT2/CDK1/CCNB1,8,0,,
GO:0031346,GO:0031346,GO:0031346,positive regulation of cell projection organization,30/891,362/17913,0.004423447,0.046842463,0.038656661,HAP1/SERPINI1/MIR221/AGT/BMP7/RIMS2/CDC42EP2/ENPP2/NTN1/MDK/RNF157/LTK/NGF/EZH2/TENM3/CENPJ/ITGA6/SKIL/FN1/NEGR1/CAMK1D/TUBB2B/MNS1/NAV3/PLEK2/TIAM1/ANLN/SEMA7A/F2RL1/ANKRD1,30,0,,
GO:0061384,GO:0061384,GO:0061384,heart trabecula morphogenesis,6/891,32/17913,0.004442269,0.046846586,0.038660063,DLL4/BMP7/S1PR1/ADAMTS1/TEK/NRG1,6,0,,
GO:0071295,GO:0071295,GO:0071295,cellular response to vitamin,6/891,32/17913,0.004442269,0.046846586,0.038660063,CYP24A1/SFRP1/PIM1/COL1A1/BRIP1/POSTN,6,0,,
GO:0022408,GO:0022408,GO:0022408,negative regulation of cell-cell adhesion,17/891,169/17913,0.004565461,0.048046039,0.03964991,BMP2/MIR221/LGALS9/BMP4/MDK/IL1RN/GPNMB/CEBPB/GNRH1/RUNX1/TNFSF4/PDCD1LG2/CD274/PODXL/ADTRP/IL20RB/SPINT2,17,0,,
GO:0014013,GO:0014013,GO:0014013,regulation of gliogenesis,14/891,128/17913,0.004605191,0.048364025,0.039912327,BMP2/MIR221/TLR2/MDK/EZH2/CDH2/E2F1/TENM4/ID4/CDK1/ZNF365/TIAM1/LIF/GPR183,14,0,,
GO:0003416,GO:0003416,GO:0003416,endochondral bone growth,5/891,23/17913,0.004789467,0.049989445,0.041253702,MMP13/STC1/FGFR2/POC1A/COMP,5,0,,
GO:0044818,GO:0044818,GO:0044818,mitotic G2/M transition checkpoint,5/891,23/17913,0.004789467,0.049989445,0.041253702,TICRR/BLM/BRCA1/CDK1/CLSPN,5,0,,
GO:0060445,GO:0060445,GO:0060445,branching involved in salivary gland morphogenesis,5/891,23/17913,0.004789467,0.049989445,0.041253702,BMP7/LAMA1/FGFR2/SEMA3C/TGM2,5,0,,
